name,p_set,q_set,bus
0,216.0,22.0,0
1,194.0,20.0,1
2,360.0,37.0,2
3,148.0,15.0,3
4,142.0,14.0,4
5,272.0,28.0,5
6,250.0,25.0,6
7,342.0,35.0,7
8,350.0,36.0,8
9,390.0,40.0,9
10,530.0,54.0,12
11,388.0,39.0,13
12,634.0,64.0,14
13,200.0,20.0,15
14,666.0,68.0,17
15,362.0,37.0,18
16,256.0,26.0,19
17,216.0,22.0,24
18,194.0,20.0,25
19,360.0,37.0,26
20,148.0,15.0,27
21,142.0,14.0,28
22,272.0,28.0,29
23,250.0,25.0,30
24,342.0,35.0,31
25,350.0,36.0,32
26,390.0,40.0,33
27,530.0,54.0,36
28,388.0,39.0,37
29,634.0,64.0,38
30,200.0,20.0,39
31,666.0,68.0,41
32,362.0,37.0,42
33,256.0,26.0,43
34,216.0,22.0,48
35,194.0,20.0,49
36,360.0,37.0,50
37,148.0,15.0,51
38,142.0,14.0,52
39,272.0,28.0,53
40,250.0,25.0,54
41,342.0,35.0,55
42,350.0,36.0,56
43,390.0,40.0,57
44,530.0,54.0,60
45,388.0,39.0,61
46,634.0,64.0,62
47,200.0,20.0,63
48,666.0,68.0,65
49,362.0,37.0,66
50,256.0,26.0,67
